"AcanQuad_1","ArioFeli_2","ChaeFabe_1","ChilShoe_1","ChilShoe_2","GimnMicr_1","GimnMicr_2","HaemBona","OpsaBeta_1","OrthChry_2","PrioPunc_1","SphoSpen_1","SphoTest_1","SphoTest_2","SphoTest_3","SynoFoet_2","SynoFoet_3","UrobJama_1","Sdmt_A","Sdmt_B","Sdmt_C","Wtr_A","Wtr_B","Wtr_C"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449.1678,0,0,0,0,0,0,0,0,3988.3459,0,0,0,4501.2284,0,0,0,0,2239.6344,0,0,0,3217.8706,2805.2313
0,0,0,0,0,0,2478.5744,0,0,3738.134,0,0,0,2390.6159,0,0,0,0,0,0,0,0,0,0
5023.3403,7599.1252,5575.9188,4551.734,2623.8137,5684.6327,0,2560.1911,0,5106.5723,50608.6674,6583.7,7099.9423,9106.0144,5895.7225,2498.9832,5496.7562,6866.7644,5005.3106,7389.525,5622.6622,5103.9422,2559.6896,11386.9303
2945.4258,3193.134,0,0,0,0,0,0,0,4549.8046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5815.838,0,0,2352.9662,0,0,0,4784.4253,0,3517.0963,0,2963.473,0,0,5856.078,0,0,2253.6157,0,0,3174.8498,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12136.6408,7910.4104,12343.3641,10017.7047,9868.4926,11650.8042,16087.8394,14885.2143,9909.568,8554.4413,18106.3678,10904.0613,11490.5479,5396.0564,11343.4232,10613.3183,12220.4425,14918.1459,0,5277.0971,6990.4425,0,5300.4837,7667.9346
6539.9663,6390.0019,10213.6385,9438.6897,8111.6799,7072.0852,11696.3228,9462.4669,8177.259,8884.4466,11035.5898,8738.7059,9467.2154,6700.1289,8079.9427,4847.224,8906.8162,8256.8032,0,5117.3701,5410.3852,2190.1106,4311.8816,4797.803
0,2501.9989,0,0,0,0,0,0,0,0,0,0,4107.783,2588.4184,0,0,0,0,2715.5979,0,3436.1734,0,0,2383.4478
